,name,author,user_rating,reviews,price,year,genre,Name,Author,User Rating,Reviews,Price,Year,Genre
0,A New Book,D.SH,5.0,239.0,14.5,2019.0,Fiction,,,,,,,
1,,,,,,,,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013.0,17.0,2009.0,Non Fiction
2,,,,,,,,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798.0,5.0,2009.0,Non Fiction
3,,,,,,,,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769.0,13.0,2009.0,Fiction
4,,,,,,,,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542.0,14.0,2009.0,Non Fiction
5,,,,,,,,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541.0,4.0,2009.0,Fiction
6,,,,,,,,Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837.0,15.0,2009.0,Fiction
7,,,,,,,,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37.0,6.0,2009.0,Non Fiction
8,,,,,,,,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181.0,12.0,2009.0,Fiction
9,,,,,,,,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720.0,1.0,2009.0,Non Fiction
10,,,,,,,,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956.0,14.0,2009.0,Non Fiction
11,,,,,,,,Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505.0,7.0,2009.0,Fiction
12,,,,,,,,Eclipse (Twilight),Stephenie Meyer,4.7,5505.0,18.0,2009.0,Fiction
13,,,,,,,,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365.0,11.0,2009.0,Non Fiction
14,,,,,,,,Going Rogue: An American Life,Sarah Palin,4.6,1636.0,6.0,2009.0,Non Fiction
15,,,,,,,,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457.0,14.0,2009.0,Non Fiction
16,,,,,,,,Have a Little Faith: A True Story,Mitch Albom,4.8,1930.0,4.0,2009.0,Non Fiction
17,,,,,,,,"I, Alex Cross",James Patterson,4.6,1320.0,7.0,2009.0,Fiction
